URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Remote Address,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Response Speed (KB/s),Request Header Size (bytes),Request Body Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/1009466/v1-1-121-470376-477708-221-594080-453644.ts,Complete,200,https,GET,video/mp2t,/192.168.43.183,bpmultihlsvods3258.ngcdn.telstra.com/203.36.130.42,,27 Jan 2020 11:29:34,27 Jan 2020 11:29:34,27 Jan 2020 11:29:35,27 Jan 2020 11:29:36,2141,2,1554,584,207.89195,286.20697,339,,292,455148,,
https://presence.teams.microsoft.com/v1/presence/getpresence/,Complete,200,https,OPTIONS,,/127.0.0.1,presence.teams.microsoft.com/52.114.6.61,,27 Jan 2020 11:29:35,27 Jan 2020 11:29:35,27 Jan 2020 11:29:35,27 Jan 2020 11:29:35,213,2,1,210,6.088615,653.32025,659,,669,0,,
https://presence.teams.microsoft.com/v1/presence/getpresence/,Complete,200,https,POST,application/json; charset=utf-8,/127.0.0.1,presence.teams.microsoft.com/52.114.6.61,,27 Jan 2020 11:29:35,27 Jan 2020 11:29:35,27 Jan 2020 11:29:35,27 Jan 2020 11:29:35,422,2,1,418,9.367595,825.19525,2548,655,322,523,,
https://teams.microsoft.com/data/?qsp=true&content-type=application%2Fbond-compact-binary&client-id=NO_AUTH&sdk-version=ACT-Web-JS-2.5.0&x-apikey=bc3902d8132f43e3ae086a009979fa88-632130b2-9455-44a6-80e2-d7457b6eb8ca-7193,Complete,200,https,POST,application/json,/127.0.0.1,teams.microsoft.com/52.113.194.132,,27 Jan 2020 11:29:36,27 Jan 2020 11:29:36,27 Jan 2020 11:29:36,27 Jan 2020 11:29:36,433,2,1,429,17.984087,457.03122,4437,3069,468,0,,
https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/1009466/v1-2-121-948084-422248-221-1047724-457780.ts,Complete,200,https,GET,video/mp2t,/192.168.43.183,bpmultihlsvods3258.ngcdn.telstra.com/203.36.130.42,,27 Jan 2020 11:29:36,27 Jan 2020 11:29:36,27 Jan 2020 11:29:37,27 Jan 2020 11:29:38,1359,2,1008,349,281.5863,379.30927,340,,292,391228,,
https://telstra-afl-test.testonly.conviva.com/0/wsg,Complete,200,https,POST,application/json,/192.168.43.183,telstra-afl-test.testonly.conviva.com/199.127.193.48,,27 Jan 2020 11:29:38,27 Jan 2020 11:29:38,27 Jan 2020 11:29:38,27 Jan 2020 11:29:38,303,2,1,299,12.5857315,665.039,326,2898,473,208,,
https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/1009466/v1-3-121-1370332-491620-221-1505504-455712.ts,Complete,200,https,GET,video/mp2t,/192.168.43.183,bpmultihlsvods3258.ngcdn.telstra.com/203.36.130.42,,27 Jan 2020 11:29:38,27 Jan 2020 11:29:38,27 Jan 2020 11:29:38,27 Jan 2020 11:29:39,1345,2,1001,341,340.4834,457.16,341,,292,468308,,
https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/1009466/v5-121-221.m3u8,Complete,200,https,GET,application/vnd.apple.mpegurl,/192.168.43.183,bpmultihlsvods3258.ngcdn.telstra.com/203.36.130.42,,27 Jan 2020 11:29:39,27 Jan 2020 11:29:39,27 Jan 2020 11:29:39,27 Jan 2020 11:29:39,380,2,1,375,5.9750204,1970.703,307,,309,1709,,
https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/1009466/v5-3-121-6167528-1927376-221-6570788-1984716.ts,Complete,200,https,GET,video/mp2t,/192.168.43.183,bpmultihlsvods3258.ngcdn.telstra.com/203.36.130.42,,27 Jan 2020 11:29:40,27 Jan 2020 11:29:40,27 Jan 2020 11:29:40,27 Jan 2020 11:29:43,3122,2,2678,440,597.7313,696.70734,343,,293,1910268,,
http://control.charles/recording/start,Complete,200,http,GET,text/html,/192.168.43.77,localhost/127.0.0.1,,27 Jan 2020 11:29:42,27 Jan 2020 11:29:42,27 Jan 2020 11:29:42,27 Jan 2020 11:29:42,5,2,0,1,99.21875,Infinity,94,,63,351,,
